Seja,Delovno telo,Tip,Datum
37. redna seja, Odbor za pravosodje ,Seja,28. 2. 2022
70. nujna seja, Odbor za finance ,Seja,25. 2. 2022
132. redna seja, Odbor za zadeve Evropske unije ,Seja,25. 2. 2022
70. nujna seja, Odbor za zdravstvo ,Seja,25. 2. 2022
65. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,25. 2. 2022
37. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,25. 2. 2022
30. nujna seja, (skupna seja) Odbor za obrambo ,Seja,25. 2. 2022
33. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,24. 2. 2022
36. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,24. 2. 2022
5. nujna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,24. 2. 2022
9. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,24. 2. 2022
35. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,23. 2. 2022
69. nujna seja, Odbor za zdravstvo ,Seja,23. 2. 2022
54. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,23. 2. 2022
19. redna seja, (korespondenčna seja) Odbor za kulturo ,Seja,23. 2. 2022
27. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,22. 2. 2022
9. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,21. 2. 2022
73. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,21. 2. 2022
131. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,18. 2. 2022
44. nujna seja, Odbor za gospodarstvo ,Seja,18. 2. 2022
105. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,18. 2. 2022
24. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,17. 2. 2022
72. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,17. 2. 2022
36. redna seja, Odbor za pravosodje ,Seja,17. 2. 2022
17. redna seja, Odbor za zdravstvo ,Seja,17. 2. 2022
45. redna seja, Odbor za finance ,Seja,16. 2. 2022
53. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,16. 2. 2022
13. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,15. 2. 2022
30. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 2. 2022
104. redna seja, Odbor za zunanjo politiko ,Seja,15. 2. 2022
64. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 2. 2022
45. nujna seja, Odbor za kulturo ,Seja,14. 2. 2022
103. redna seja, Odbor za zunanjo politiko ,Seja,14. 2. 2022
10. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,11. 2. 2022
8. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,11. 2. 2022
130. redna seja, Odbor za zadeve Evropske unije ,Seja,11. 2. 2022
26. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,10. 2. 2022
37. nujna seja, Komisija za nadzor javnih financ ,Seja,9. 2. 2022
44. redna seja, Odbor za finance ,Seja,9. 2. 2022
37. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,9. 2. 2022
69. nujna seja, Odbor za finance ,Seja,31. 1. 2022
36. nujna seja, Odbor za zunanjo politiko ,Seja,28. 1. 2022
25. redna seja, Komisija za nadzor javnih financ ,Seja,28. 1. 2022
37. nujna seja, Odbor za pravosodje ,Seja,28. 1. 2022
23. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,27. 1. 2022
11. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,27. 1. 2022
25. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,27. 1. 2022
39. redna seja, Mandatno-volilna komisija ,Seja,27. 1. 2022
101. redna seja, Odbor za zunanjo politiko ,Seja,26. 1. 2022
18. redna seja, Odbor za kulturo ,Seja,26. 1. 2022
9. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,26. 1. 2022
18. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,26. 1. 2022
29. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,25. 1. 2022
8. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,25. 1. 2022
35. nujna seja, Odbor za zunanjo politiko ,Seja,24. 1. 2022
43. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,24. 1. 2022
102. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,21. 1. 2022
129. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,21. 1. 2022
36. nujna seja, Komisija za nadzor javnih financ ,Seja,20. 1. 2022
70. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,20. 1. 2022
68. nujna seja, Odbor za zdravstvo ,Seja,20. 1. 2022
63. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,20. 1. 2022
35. redna seja, Odbor za pravosodje ,Seja,19. 1. 2022
43. redna seja, Odbor za finance ,Seja,19. 1. 2022
38. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,18. 1. 2022
71. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,18. 1. 2022
69. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,18. 1. 2022
7. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,17. 1. 2022
128. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,14. 1. 2022
100. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,14. 1. 2022
7. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,14. 1. 2022
7. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,14. 1. 2022
38. redna seja, Mandatno-volilna komisija ,Seja,13. 1. 2022
35. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,12. 1. 2022
42. redna seja, Odbor za finance ,Seja,12. 1. 2022
42. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 1. 2022
68. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,12. 1. 2022
29. nujna seja, Odbor za obrambo ,Seja,11. 1. 2022
62. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 1. 2022
7. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,10. 1. 2022
68. nujna seja, Odbor za finance ,Seja,23. 12. 2021
10. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,23. 12. 2021
25. nujna seja, Mandatno-volilna komisija ,Seja,22. 12. 2021
6. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,22. 12. 2021
36. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,21. 12. 2021
59. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,21. 12. 2021
26. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,21. 12. 2021
61. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,21. 12. 2021
16. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,21. 12. 2021
127. redna seja, Odbor za zadeve Evropske unije ,Seja,17. 12. 2021
20. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,16. 12. 2021
34. nujna seja, Odbor za zunanjo politiko ,Seja,15. 12. 2021
60. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,13. 12. 2021
