Seja,Delovno telo,Tip,Datum
61. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,27. 10. 2021
56. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,27. 10. 2021
63. nujna seja, Odbor za finance ,Seja,27. 10. 2021
33. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,27. 10. 2021
60. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,25. 10. 2021
62. nujna seja, Odbor za finance ,Seja,22. 10. 2021
119. redna seja, Odbor za zadeve Evropske unije ,Seja,22. 10. 2021
55. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,22. 10. 2021
23. nujna seja, Mandatno-volilna komisija ,Seja,20. 10. 2021
38. nujna seja, Odbor za gospodarstvo ,Seja,20. 10. 2021
117. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,15. 10. 2021
3. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,15. 10. 2021
3. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,15. 10. 2021
33. nujna seja, Komisija za nadzor javnih financ ,Seja,15. 10. 2021
94. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,15. 10. 2021
61. nujna seja, Odbor za zdravstvo ,Seja,15. 10. 2021
118. redna seja, Odbor za zadeve Evropske unije ,Seja,15. 10. 2021
34. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 10. 2021
6. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,15. 10. 2021
8. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,14. 10. 2021
31. redna seja, Odbor za pravosodje ,Seja,14. 10. 2021
59. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,14. 10. 2021
27. nujna seja, Odbor za obrambo ,Seja,14. 10. 2021
35. redna seja, Mandatno-volilna komisija ,Seja,14. 10. 2021
2. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,13. 10. 2021
54. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,13. 10. 2021
40. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,13. 10. 2021
93. redna seja, Odbor za zunanjo politiko ,Seja,13. 10. 2021
33. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,13. 10. 2021
6. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,12. 10. 2021
37. nujna seja, Odbor za gospodarstvo ,Seja,12. 10. 2021
33. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,12. 10. 2021
7. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,12. 10. 2021
47. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,11. 10. 2021
43. nujna seja, Odbor za kulturo ,Seja,11. 10. 2021
44. nujna seja, Odbor za kulturo ,Seja,11. 10. 2021
26. nujna seja, (skupna seja) Odbor za obrambo ,Seja,8. 10. 2021
32. nujna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,8. 10. 2021
116. redna seja, Odbor za zadeve Evropske unije ,Seja,8. 10. 2021
16. redna seja, Odbor za gospodarstvo ,Seja,7. 10. 2021
34. redna seja, Mandatno-volilna komisija ,Seja,7. 10. 2021
42. nujna seja, Odbor za kulturo ,Seja,7. 10. 2021
35. nujna seja, Odbor za pravosodje ,Seja,7. 10. 2021
26. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,6. 10. 2021
38. redna seja, Odbor za finance ,Seja,6. 10. 2021
12. redna seja, Komisija za poslovnik ,Seja,6. 10. 2021
30. redna seja, Odbor za pravosodje ,Seja,6. 10. 2021
32. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,6. 10. 2021
61. nujna seja, Odbor za finance ,Seja,6. 10. 2021
17. redna seja, Odbor za obrambo ,Seja,5. 10. 2021
35. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,5. 10. 2021
53. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,4. 10. 2021
34. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,4. 10. 2021
115. redna seja, Odbor za zadeve Evropske unije ,Seja,1. 10. 2021
16. redna seja, Odbor za zdravstvo ,Seja,30. 9. 2021
22. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,30. 9. 2021
60. nujna seja, Odbor za zdravstvo ,Seja,30. 9. 2021
59. nujna seja, Odbor za zdravstvo ,Seja,29. 9. 2021
11. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,28. 9. 2021
58. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,28. 9. 2021
16. redna seja, Odbor za kulturo ,Seja,27. 9. 2021
52. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,27. 9. 2021
33. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,27. 9. 2021
34. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,27. 9. 2021
2. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,24. 9. 2021
114. redna seja, Odbor za zadeve Evropske unije ,Seja,24. 9. 2021
37. redna seja, Odbor za finance ,Seja,22. 9. 2021
24. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,20. 9. 2021
57. nujna seja, Odbor za zdravstvo ,Seja,20. 9. 2021
92. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,17. 9. 2021
1. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,17. 9. 2021
113. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,17. 9. 2021
33. nujna seja, Odbor za zunanjo politiko ,Seja,17. 9. 2021
31. nujna seja, Komisija za nadzor javnih financ ,Seja,17. 9. 2021
16. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,16. 9. 2021
32. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,16. 9. 2021
58. nujna seja, Odbor za zdravstvo ,Seja,16. 9. 2021
33. redna seja, Mandatno-volilna komisija ,Seja,16. 9. 2021
44. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,15. 9. 2021
38. nujna seja, (skupna seja) Odbor za kulturo ,Seja,15. 9. 2021
21. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,15. 9. 2021
90. redna seja, Odbor za zunanjo politiko ,Seja,15. 9. 2021
16. redna seja, (skupna seja) Odbor za obrambo ,Seja,15. 9. 2021
91. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,15. 9. 2021
46. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,15. 9. 2021
19. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,15. 9. 2021
22. nujna seja, Mandatno-volilna komisija ,Seja,14. 9. 2021
31. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,14. 9. 2021
41. nujna seja, (skupna seja) Odbor za kulturo ,Seja,10. 9. 2021
14. nujna seja," (skupna seja) Komisija za peticije, človekove pravice in enake možnosti ",Seja,10. 9. 2021
112. redna seja, Odbor za zadeve Evropske unije ,Seja,10. 9. 2021
21. redna seja, Komisija za nadzor javnih financ ,Seja,10. 9. 2021
56. nujna seja, Odbor za zdravstvo ,Seja,10. 9. 2021
15. redna seja, Odbor za gospodarstvo ,Seja,9. 9. 2021
32. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,9. 9. 2021
15. redna seja, Odbor za zdravstvo ,Seja,9. 9. 2021
39. nujna seja, Odbor za kulturo ,Seja,8. 9. 2021
29. redna seja, Odbor za pravosodje ,Seja,8. 9. 2021
31. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,8. 9. 2021
30. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,8. 9. 2021
36. redna seja, Odbor za finance ,Seja,7. 9. 2021
51. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,7. 9. 2021
25. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,7. 9. 2021
15. redna seja, Odbor za obrambo ,Seja,2. 9. 2021
15. redna seja, Odbor za kulturo ,Seja,2. 9. 2021
40. nujna seja, Odbor za kulturo ,Seja,2. 9. 2021
45. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,1. 9. 2021
30. nujna seja, Komisija za nadzor javnih financ ,Seja,26. 8. 2021
32. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,25. 8. 2021
30. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,24. 8. 2021
39. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,23. 8. 2021
49. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,16. 7. 2021
19. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,15. 7. 2021
50. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 7. 2021
27. nujna seja, Odbor za zadeve Evropske unije ,Seja,15. 7. 2021
38. nujna seja," (skupna seja) Odbor za izobraževanje, znanost, šport in mladino ",Seja,14. 7. 2021
37. nujna seja, (skupna seja) Odbor za kulturo ,Seja,14. 7. 2021
55. nujna seja, Odbor za zdravstvo ,Seja,14. 7. 2021
60. nujna seja, Odbor za finance ,Seja,10. 7. 2021
89. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,9. 7. 2021
12. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,9. 7. 2021
111. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,9. 7. 2021
32. nujna seja, Odbor za zunanjo politiko ,Seja,8. 7. 2021
2. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,7. 7. 2021
57. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,7. 7. 2021
33. nujna seja, Odbor za pravosodje ,Seja,7. 7. 2021
15. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,2. 7. 2021
1. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,2. 7. 2021
16. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,1. 7. 2021
13. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,1. 7. 2021
36. nujna seja, Odbor za gospodarstvo ,Seja,1. 7. 2021
32. redna seja, Mandatno-volilna komisija ,Seja,1. 7. 2021
29. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,30. 6. 2021
54. nujna seja, Odbor za zdravstvo ,Seja,30. 6. 2021
88. redna seja, Odbor za zunanjo politiko ,Seja,30. 6. 2021
28. nujna seja," (skupna seja) Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,29. 6. 2021
43. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,29. 6. 2021
26. nujna seja, Odbor za zadeve Evropske unije ,Seja,24. 6. 2021
11. redna seja, Komisija za poslovnik ,Seja,23. 6. 2021
14. redna seja, Odbor za kulturo ,Seja,23. 6. 2021
29. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,23. 6. 2021
28. redna seja, Odbor za pravosodje ,Seja,23. 6. 2021
8. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,23. 6. 2021
86. redna seja, Odbor za zunanjo politiko ,Seja,22. 6. 2021
35. redna seja, Odbor za finance ,Seja,22. 6. 2021
1. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,18. 6. 2021
110. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,18. 6. 2021
87. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,18. 6. 2021
30. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,17. 6. 2021
14. redna seja, Odbor za obrambo ,Seja,17. 6. 2021
5. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,17. 6. 2021
24. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,16. 6. 2021
20. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,16. 6. 2021
31. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,16. 6. 2021
18. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,16. 6. 2021
29. nujna seja, Komisija za nadzor javnih financ ,Seja,15. 6. 2021
13. redna seja, Odbor za kulturo ,Seja,14. 6. 2021
25. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,11. 6. 2021
109. redna seja, Odbor za zadeve Evropske unije ,Seja,11. 6. 2021
31. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,11. 6. 2021
53. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,10. 6. 2021
47. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,10. 6. 2021
27. redna seja, Odbor za pravosodje ,Seja,10. 6. 2021
6. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,10. 6. 2021
32. nujna seja, Odbor za pravosodje ,Seja,10. 6. 2021
31. redna seja, Mandatno-volilna komisija ,Seja,10. 6. 2021
28. nujna seja, Komisija za nadzor javnih financ ,Seja,9. 6. 2021
35. nujna seja, Odbor za kulturo ,Seja,9. 6. 2021
85. redna seja, Odbor za zunanjo politiko ,Seja,9. 6. 2021
14. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,9. 6. 2021
29. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,8. 6. 2021
5. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,8. 6. 2021
18. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,7. 6. 2021
12. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,4. 6. 2021
108. redna seja, Odbor za zadeve Evropske unije ,Seja,4. 6. 2021
27. nujna seja, Komisija za nadzor javnih financ ,Seja,3. 6. 2021
4. redna seja, Pododbor za spremljanje rakavih obolenj v Republiki Sloveniji ,Seja,3. 6. 2021
28. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,2. 6. 2021
48. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,2. 6. 2021
23. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,1. 6. 2021
56. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,1. 6. 2021
30. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,1. 6. 2021
46. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,31. 5. 2021
13. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,31. 5. 2021
30. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,28. 5. 2021
107. redna seja, Odbor za zadeve Evropske unije ,Seja,28. 5. 2021
19. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,27. 5. 2021
59. nujna seja, Odbor za finance ,Seja,26. 5. 2021
26. nujna seja, Komisija za nadzor javnih financ ,Seja,26. 5. 2021
11. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,24. 5. 2021
42. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,24. 5. 2021
84. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,21. 5. 2021
106. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,21. 5. 2021
17. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,19. 5. 2021
22. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,17. 5. 2021
58. nujna seja, Odbor za finance ,Seja,15. 5. 2021
28. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,14. 5. 2021
15. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,13. 5. 2021
30. redna seja, Mandatno-volilna komisija ,Seja,13. 5. 2021
12. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,13. 5. 2021
83. redna seja, Odbor za zunanjo politiko ,Seja,12. 5. 2021
20. redna seja, Komisija za nadzor javnih financ ,Seja,12. 5. 2021
27. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,11. 5. 2021
25. nujna seja, Odbor za obrambo ,Seja,11. 5. 2021
34. nujna seja, Odbor za kulturo ,Seja,11. 5. 2021
45. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,10. 5. 2021
40. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,10. 5. 2021
35. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,10. 5. 2021
41. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 5. 2021
52. nujna seja, Odbor za zdravstvo ,Seja,10. 5. 2021
105. redna seja, Odbor za zadeve Evropske unije ,Seja,7. 5. 2021
31. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,7. 5. 2021
104. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,7. 5. 2021
34. redna seja, Odbor za finance ,Seja,6. 5. 2021
27. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,6. 5. 2021
14. redna seja, Odbor za zdravstvo ,Seja,6. 5. 2021
14. redna seja, Odbor za gospodarstvo ,Seja,5. 5. 2021
12. redna seja, Odbor za kulturo ,Seja,5. 5. 2021
26. redna seja, Odbor za pravosodje ,Seja,5. 5. 2021
18. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,5. 5. 2021
31. nujna seja, Odbor za pravosodje ,Seja,5. 5. 2021
16. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,5. 5. 2021
29. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,4. 5. 2021
29. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,4. 5. 2021
21. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,4. 5. 2021
4. nujna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,4. 5. 2021
27. nujna seja," (skupna seja) Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,3. 5. 2021
54. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 5. 2021
34. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,3. 5. 2021
55. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 5. 2021
51. nujna seja, Odbor za zdravstvo ,Seja,28. 4. 2021
37. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,26. 4. 2021
33. nujna seja, Odbor za gospodarstvo ,Seja,23. 4. 2021
25. nujna seja, Komisija za nadzor javnih financ ,Seja,23. 4. 2021
25. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,23. 4. 2021
30. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,23. 4. 2021
103. redna seja, Odbor za zadeve Evropske unije ,Seja,23. 4. 2021
27. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,22. 4. 2021
57. nujna seja, Odbor za finance ,Seja,22. 4. 2021
29. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,22. 4. 2021
28. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,22. 4. 2021
53. nujna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,21. 4. 2021
32. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,21. 4. 2021
50. nujna seja, Odbor za zdravstvo ,Seja,21. 4. 2021
39. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,21. 4. 2021
30. nujna seja, Odbor za pravosodje ,Seja,21. 4. 2021
26. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,21. 4. 2021
20. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,20. 4. 2021
23. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,20. 4. 2021
38. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,20. 4. 2021
29. nujna seja, Odbor za zunanjo politiko ,Seja,20. 4. 2021
7. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,16. 4. 2021
36. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,15. 4. 2021
35. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,15. 4. 2021
29. nujna seja, Odbor za pravosodje ,Seja,15. 4. 2021
29. redna seja, Mandatno-volilna komisija ,Seja,15. 4. 2021
4. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,14. 4. 2021
82. redna seja, Odbor za zunanjo politiko ,Seja,14. 4. 2021
11. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,14. 4. 2021
10. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,14. 4. 2021
3. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,13. 4. 2021
16. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,13. 4. 2021
17. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,13. 4. 2021
26. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,13. 4. 2021
14. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,12. 4. 2021
81. redna seja, Odbor za zunanjo politiko ,Seja,9. 4. 2021
19. redna seja, Komisija za nadzor javnih financ ,Seja,9. 4. 2021
4. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,8. 4. 2021
26. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,8. 4. 2021
34. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,7. 4. 2021
25. redna seja, Odbor za pravosodje ,Seja,7. 4. 2021
26. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,7. 4. 2021
28. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,7. 4. 2021
15. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,6. 4. 2021
13. redna seja, Odbor za zdravstvo ,Seja,6. 4. 2021
33. redna seja, Odbor za finance ,Seja,6. 4. 2021
1. nujna seja, Ustavna komisija ,Seja,2. 4. 2021
25. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,2. 4. 2021
17. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,1. 4. 2021
49. nujna seja, Odbor za zdravstvo ,Seja,1. 4. 2021
28. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,1. 4. 2021
31. nujna seja, Odbor za gospodarstvo ,Seja,31. 3. 2021
102. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,31. 3. 2021
