xml:id,count
BarbaraAntolićVupora,1
BarbaraGerečnik,15
BarbaraJenkoleŽigante,1
BarbaraKobalTomc,9
BarbaraKoželjPodlogar,1
BarbaraKranjc,1
BarbaraKrivic,1
BarbaraKürnerČad,7
BarbaraLipovšek,6
BarbaraLončar,1
BarbaraNerat,14
BarbaraNovak,3
BarbaraPeternelj,2
BarbaraPregelj,1
BarbaraRajgelj,2
BarbaraRiman,11
BarbaraSkubic,1
BarbaraSušnik,3
BarbaraToplakPerovič,2
BarbaraĐerfi,3
BarbaraŠkrabaFlis,2
BarbaraŠtrukelj,3
BenjaminGorišek,1
Bernard,2
BernardSadovnik,5
BernhardHauer,4
BertoMenard,1
BevkSamo,1
Bećiri,1
BiserkaIlin,2
BiserkaMarolgMeden,1
BiserkaMaroltMedem,1
BiserkaMaroltMeden,8
BlažCvar,1
BlažGrmšek,2
BlažHeij,4
BlažKovač,7
BlažKovačičMlinar,2
BlažKošorog,3
BlažKošorok,73
BlažMrevlje,2
BlažPaulič,2
BlažPavlin,1271
BlažPerko,5
BlažPlazar,1
BlažZavršnik,1
Bogataj,1
BogdanLipovšek,3
BogdanProdan,1
BogdanVnučec,1
BogdanŠtepec,2
BogomilVnučec,1
BogomirVnučec,89
BogomorVnučec,1
BojanBodkrajšek,1
BojanBorovnik,2
BojanDejak,1
BojanDoblekar,1
BojanGantar,1
BojanHajnak,1
BojanIvanc,1
BojanKekec,66
BojanKontič,1
BojanKumer,66
BojanKurež,6
BojanMajcen,7
BojanMuršič,1
BojanOblak,4
BojanPahor,5
BojanPodgrajšek,1
BojanPodkrajšek,1945
BojanPodkrajšekk,2
BojanPodkrajškek,1
BojanPodrajšek,1
BojanPograjc,2
BojanPokrajšek,1
BojanPopovič,1
BojanPočivalšek,4
BojanPožar,1
BojanRežon,1
BojanRežun,19
BojanRošer,2
BojanSkomina,1
BojanSuvorov,29
BojanVerbič,3
BojanVeselinovič,22
BojanZalar,2
BojanaBeović,4
BojanaMuršić,1
BojanaMuršič,274
BojanaPodkrajšek,1
BojanaPotočan,45
BojanaPotočar,1
BojanŠvigelj,2
BojanŽlender,3
BojanŽvikart,1
BojkoJerman,1
BorisDoblekar,402
BorisDoblkear,2
BorisDular,4
BorisGrigić,4
BorisIvčič,2
BorisJesih,1
BorisKavur,2
BorisKoprivnikar,7
BorisKosec,3
BorisMatič,2
BorisMedica,1
BorisMihalj,3
BorisMunišič,2
BorisNovak,12
BorisOrešek,5
BorisPleskovič,7
BorisPleškovič,1
BorisSovič,1
BorisTomažič,1
BorisŠinigoj,1
BorisŠtefanec,14
BoroŠtrumbelj,1
BorutCugelj,1
BorutFlorjančič,4
BorutHorvat,2
BorutMahnič,3
BorutMeh,1
BorutPeterlin,2
BorutRojc,1
BorutRončević,6
BorutSever,7
BorutSmrdel,32
BorutŠantej,2
BorutŠtrukelj,1
BoštjanBovič,1
BoštjanHorvat,1
BoštjanJambrovič,6
BoštjanKersnič,1
BoštjanKocmur,3
BoštjanKoražija,436
BoštjanKoritnik,76
BoštjanKos,1
BoštjanKozole,1
BoštjanLindav,3
BoštjanMočnik,2
BoštjanNoč,9
BoštjanPetelinc,1
BoštjanPoklukar,148
BoštjanRigler,6
BoštjanUdovič,4
BoštjanVasle,22
BoštjanZalar,1
BoštjanŠefic,3
BožidarCasar,1
BožidarPeteh,1
BožidarRadišič,6
BožidarRustja,2
BožoPredalič,66
BrakoGrims,1
BrakoSimonovič,1
BralžPavlin,2
BraneBut,5
BraneDobnikar,2
BraneGolubović,77
BraneGoluboviću,1
BraneGolubovič,4
BraneGrad,2
BraneKumer,1
BranimirRajić,3
BranimirŠtrukelj,51
BranimirŠtukelj,1
BranisalvRajić,1
BranislaRajić,1
BranislavRajić,1478
BranislavRajič,7
BrankaGlojnarič,11
BrankaKalenićRamšak,2
BrankaKaliničRamšak,1
BrankaKnafelc,2
BrankaKrištof,2
BrankaVidetič,2
BrankicaPetković,2
BrankoAndrejašič,1
BrankoBregar,4
BrankoBrims,1
BrankoGornjec,1
BrankoGrimms,1
BrankoGrims,2452
BrankoGrimsu,1
BrankoGris,1
BrankoJezovšek,1
BrankoKrištof,1
BrankoKumer,1
BrankoLobnik,1
BrankoLobnikar,1
BrankoMeh,9
BrankoPetovar,1
BrankoRajić,12
BrankoRavnik,24
BrankoRavnikar,2
BrankoSečnikar,2
BrankoSimnovič,1
BrankoSimonović,6
BrankoSimonovič,100
BrankoStarović,1
BrankoTomažič,18
BrankoVidič,1
BrankoZakotnik,5
BrankoZavršan,1
BrankoZorman,1
BrankoŠumenjak,8
BransilavRajić,2
BraslavBrajić,1
BredaBožnik,55
BredaHrovatin,1
BredaKrašna,9
BredaKutin,5
BredaČinčJuhant,1
BredaČrnčec,2
BrglezMilan,1
BrigitaJamnik,1
BrigitaKosi,2
BrigitaSkelaSavič,4
BrigitaZupančič,2
BrinaSotenšek,1
BronkaStraus,4
BrunoDujič,2
BrunoGabršek,1
BrunoKomac,1
Bučar,1
CarloCampanile,4
CarmenRajer,1
CeneGrčar,1
CirilBašković,1
CirilBaškovič,5
CirilRibičič,4
CvetkoZupančič,10
CvetoUršič,116
CvetoZupančič,10
DamijanFlorjančič,19
DamijanJagodic,1
DamijanJaklin,10
DamijanUranker,1
DamijanaMlakar,1
DamijanŠtefanc,6
DamirDomjan,8
DamirFelak,1
DamirOrehovec,72
DamjanBelič,2
DamjanBergant,2
DamjanBradač,2
DamjanDamjanovič,2
DamjanFlorjančič,1
DamjanHorvat,5
DamjanJaklin,2
DamjanMedved,1
DamjanOmerzu,1
DamjanOražem,5
DamjanOsredkar,1
DamjanPrelovšek,1
DamjanStanonik,15
DamjanTopolko,1
DamjanTušar,2
DamjanUrankar,1
DamjanVolf,2
DamjanaAjd,1
DamjanaIglič,1
DamjanaMlakar,11
DamjanaŠarčević,1
DamjanŠkrk,2
DaneKastelic,13
DanielAvdagič,1
DanielJug,2
DanielaDimić,3
DanielaDimič,1
DanijelHočevar,3
DanijelKastelic,32
DanijelKrivec,107
DanijelKrivic,1
DanijelLamperger,1
DanijelLorbek,3
DanijelVrbnjak,1
DanijelaMakovecRadovan,2
DanijelaMrharPrelić,5
DanijelŽibret,2
DaniloAntonRanc,2
DaniloDolenc,1
DaniloKacijan,1
DaniloMeolic,1
DaniloRošker,1
DaniloTomšič,5
DarijKarajčič,11
DarijKarjčič,3
DarijKrajiči,1
DarijKrajčič,870
DarjaDerganc,1
DarjaFigel,2
DarjaGroznik,1
DarjaKocjan,12
DarjaKuzmaničKorva,6
DarjaMajkovič,1
DarjaMatjašec,2
DarjaOgrič,1
DarjaPotočnikBenčič,3
DarjaŠlibar,12
DarjoFelda,1
DarkoBut,11
DarkoKovačič,4
DarkoMuženič,4
DarkoRudaš,5
DarkoRudež,2
DarkoStare,13
DarkoTrajanov,6
DarkoZevnik,1
DarkoZupan,1
DarkoZupanc,1
DavidBrozina,16
DavidKlarič,8
DavidLapornik,1
DavidNeubauer,2
DavidPolutnik,2
DavidRunco,1
DavidŠkabar,1
DavidŠvarc,1
DavorPeršič,1
DavorinKračun,59
DavorinPočivašek,1
DavorinTerčon,2
DejanCrnek,7
DejanHaloh,1
DejanJefim,3
DejanJelovac,1
DejanJurkovič,7
DejanKaisersberger,1
DejanKaloh,259
DejanKing,1
DejanKink,1
DejanMatijevič,2
DejanOgrinec,2
DejanPrebil,1
DejanPrešiček,9
DejanSrnek,1
DejanValentinčič,17
DejanŠiško,2
DejanŽidan,783
DenisMiklavčič,3
DenisSahernik,8
DenisŽitnik,1
DianaKos,9
DijanaKos,5
DimicIva,1
DimitrijPur,2
DimitrijZadel,1
DinoBavk,1
DobranBožič,149
DoloresKores,1
Dolčič,1
DomenBogdan,2
DomenSavič,6
DominikMrvar,5
DominikaŠvarcPipan,38
DoricaPetrič,1
DorijanKrajčič,1
DorotejaNovakGosarič,1
DrAnžeLogar,1
DragaGelt,2
DraganMatić,1
DraganPetrovec,9
DraganPetroveč,1
DraganaŽunić,3
DragicaIskrenovič,1
DragicaKekec,2
DragoBabič,2
DragoBokal,3
DragoKoprčina,1
DragoVogrinčič,1
DragomirMikelić,1
DragoŠketa,33
DrancTrček,1
DraženLevojević,1
DržavniSekretar,1
DušaHladeZore,1
DušanBrejc,3
DušanDovč,1
DušanJošar,1
DušanKeber,10
DušanKumer,1
DušanMerc,2
DušanMes,2
DušanMikuš,2
DušanMikuž,9
DušanNolimal,1
DušanOrban,1
DušanPlut,2
DušanSterle,16
DušanStrnad,13
DušanVebrič,1
DušanVerbič,333
DušanVučko,12
DušanZore,2
DušanZorko,6
DušanZupančič,1
DušanŠiško,452
DuškaGodina,37
DuškoSmajek,4
DuškoSmajh,3
EdoOblak,2
EdvadPaulič,1
EdvarPaulič,4
EdvardClug,1
EdvardPaulič,1855
EdvardPaušič,1
EdvardPavlič,40
EdvardPlaulič,2
EdvardPulič,5
EdvardaPaulič,2
EdvartPaulič,3
EdwardClug,3
EgonRebec,1
ElenaPečarič,13
ElenaUšajZavadlav,3
ElenaZavadlavUšaj,56
ElenaZavedlavUšaj,2
EmaAjster,2
EmaLavrič,2
EmilErjavec,2
EmilKos,2
EmilRojc,4
EmilZakonjšek,8
EmilZakonšek,5
EmilijaPlacerTušar,1
EnaKobentar,1
EndreMesaroš,3
EnosKugler,1
ErikHofbauer,2
ErikKerševan,34
ErikPagon,4
ErikaOblak,1
ErikaPajntar,1
ErikaPerić,1
ErnestPetrič,5
EvaDimic,1
EvaIgrl,29
EvaIrg,1
EvaIrga,1
EvaIrgl,2995
EvaMatjaž,1
EvaMermolja,1
EvaPodlogar,1
EvaRorman,2
EvardPaulič,1
EvaŠravsPodlogar,1
EvaŠtrausPodlogar,11
EvaŠtravs,6
EvaŠtravsPodlogar,39
EvaŠtrovsPodlogar,1
EvelinPristavecTratar,4
EvelinVesenjak,2
EvgenGovekar,1
EvitaLeskovšek,1
FatmirBećiri,3
FatmirBečiri,3
FedjaPobegajlo,3
FeliceŽiča,2
FeliceŽiža,47
FeliksViser,1
FerencHorvat,3
