xml:id	count	correct_string
AndrejDrašler	1	AndrejDrašler
AndrejEror	1	AndrejEror
AndrejFerlinc	14	AndrejFerlinc
AndrejFink	2	AndrejFink
AndrejGernigoj	2	AndrejČernigoj
AndrejGnezda	9	AndrejGnezda
AndrejGosar	1	AndrejGosar
AndrejGrah	1	AndrejGrahWhatmough
AndrejGrahWhatmough	29	AndrejGrahWhatmough
AndrejGrahWhotmough	1	AndrejGrahWhatmough
AndrejHafner	6	AndrejHafner
AndrejHrausky	1	AndrejHrausky
AndrejHudoklin	2	AndrejHudoklin
AndrejKastelic	3	AndrejKastelic
AndrejKavčič	3	AndrejKavčič
AndrejKocbek	1	AndrejKocbek
AndrejKurent	1	AndrejaKurent
AndrejLogar	1	AndrejLogar
AndrejMatoz	2	AndrejMatoz
AndrejMedica	5	AndrejMedica
AndrejOperčkal	1	AndrejOperčkal
AndrejPezdir	1	AndrejPezdir
AndrejPirjevec	4	AndrejPirjevec
AndrejPlesičar	1	AndrejPlesničar
AndrejPlesničar	1	AndrejPlesničar
AndrejPoljšak	1	AndrejPoljšak
AndrejPrebil	2	AndrejPrebil
AndrejRahj	1	AndrejRajh
AndrejRajh	1095	AndrejRajh
AndrejRibič	2	AndrejRibič
AndrejRihtar	2	AndrejRihter
AndrejRihter	8	AndrejRihter
AndrejRobida	4	AndrejRobida
AndrejSevšek	3	AndrejSevšek
AndrejSimončič	6	AndrejSimončič
AndrejSitar	1	AndrejStritar
AndrejSmrekar	1	AndrejSmrekar
AndrejSotošek	1	AndrejSotošek
AndrejStritar	7	AndrejStritar
AndrejStuden	1	AndrejStuden
AndrejUršič	1	AndrejUršič
AndrejVizjak	60	AndrejVizjak
AndrejZabret	1	AndrejaZabret
AndrejZorko	11	AndrejZorko
AndrejaBizjak	7	AndrejaBizjak
AndrejaHribernik	3	AndrejaHribernik
AndrejaJerina	5	AndrejaJerina
AndrejaKandolf	1	AndrejaKandolf
AndrejaKatić	1	AndrejaKatič
AndrejaKatič	75	AndrejaKatič
AndrejaKokalj	1	AndrejaKokalj
AndrejaKovač	6	AndreaKovač
AndrejaKrtStopar	1	AndrejaKrtStopar
AndrejaKurent	65	AndrejaKurent
AndrejaKvas	1	AndrejaKvas
AndrejaLapanja	3	AndrejaLapanja
AndrejaOgriz	1	AndrejaOgriz
AndrejaPadar	1	AndrejaPaderJagodič
AndrejaPader	3	AndrejaPaderJagodič
AndrejaPaderJagodič	1	AndrejaPaderJagodič
AndrejaPotočnik	1	AndrejaPotočnik
AndrejaSlameršek	2	AndrejaSlameršek
AndrejaUštar	1	AndrejaUštar
AndrejaZabret	237	AndrejaZabret
AndrejaČufar	1	AndrejaČufer
AndrejaČufer	5	AndrejaČufer
AndrejČerngoj	1	AndrejČernigoj
AndrejČernigoj	450	AndrejČernigoj
AndrejČernigor	1	AndrejČernigoj
AndrejČuš	21	AndrejČuš
AndrejŠircelj	482	AndrejŠircelj
AndrejŠirecelj	1	AndrejŠircelj
AndrejŠter	2	AndrejŠter
AndrejŠtritof	1	AndrejŠtritof
AndrejŠušmelj	12	AndrejŠušmelj
AndrianaSukova	3	AndrianaSukova
AnejPodgorelec	1	AnejPodgorelec
